wiki_id,kotus_id,place_name,place_type,name_type,parish,lat,long,precision,collector,collection_year,collection
Q5013350,8018,Ahola,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018630,10694,Vähä-Pesola,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016772,9748,Peltola,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016818,9772,Perttu,pelto,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016820,9773,Pertunsarka,pelto,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5014590,8640,Kangas-Pesola,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5016907,9817,Pietilä,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5013714,8194,Färjäri-Jussi,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5017991,10366,Taipales,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018039,10390,Tasanko,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018069,10405,Tiensivu,mökki,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5014789,8741,Keskelä,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018085,10413,Tienvieri,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018290,10518,Törni,mökki,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5018422,10585,Vainionpää,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5017423,10077,Rinne,talo,paikannimi,Alahärmä,63.228717419,22.892475779,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Pitkänen, Hillevi",1954,1-kokoelma
Q5006710,3368,Pikkusuo,suo,paikannimi,Ahlainen,61.727326427,21.563284268,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Miikkulainen, Raija",1986,1-kokoelma
Q5011050,5547,Ahlbom,mökki,paikannimi,Aitolahti,61.539135413,23.936539447,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Kerttula, Riitta-Liisa",1970,1-kokoelma
Q5017285,10007,Rajala,talo,paikannimi,Alahärmä,63.33536929,22.768578969,Paikka sijaitsee keruukartalla tämän karttaruudun alueella.,"Kojonen, Eero",1957,1-kokoelma
Q5008272,4153,Salonen,talo,paikannimi,Ahlainen,61.659812639,21.584063124,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Vasama, Marjatta",1963,1-kokoelma
Q5015582,9143,Lahtikyrönperä,viljelysmaa,paikannimi,Alahärmä,63.193577947,22.848096401,Kerääjä on sijoittanut merkinnän tähän pisteeseen.,"Viitala, Pirjo",1972,1-kokoelma
Q5018587,10671,Vuorenoja,oja,paikannimi,Alahärmä,63.204309037,22.711500482,Paikka sijaitsee useiden karttaruutujen alueella. Tämä piste on ensimmäisessä ruudussa.,"Sjöblom, Sirkka-Liisa",1984,1-kokoelma
